words,values
fogna,6.84
voce,3.88
argento,7.2
gioioso,7.32
muco,4.72
erotico,11.56
liscio,4.32
stivale,4.92
cracker,7.521739130434782
potenza,7.6
corridoio,4.48
brutto,3.28
trapano,8.44
inferiore,7.68
nazione,7.96
imbarazzato,6.88
spillatrice,7.24
tranquillo,5.4
proverbio,6.52
campo,4.52
stressato,10.12
soldi,4.96
benzina,7.68
anguilla,7.68
lunatico,9.84
bagno,4.16
soldatino,3.84
rasoio,8.76
tuffatore,7.84
cervo,5.96
crimine,9.56
piede,3.16
fibbia,8.666666666666666
bistecca,6.68
felice,4.32
collo,4.08
secchio,4.76
pigiama,3.84
bomba,7.375
calciare,5.2
bilancia,6.44
cigno,5.12
dire,4.08
corto,4.56
magazzino,5.92
piacere,7.64
fico,5.8
fischio,4.52
rospo,4.68
cinta,5.291666666666667
camera,4.24
tartaruga,4.16
pomodoro,4.4
igloo,8.12
riservato,9.04
risata,5.6
orizzonte,6.48
motivo,6.4
tanica,10.565217391304348
opuscolo,8.666666666666666
cugino,3.44
freddo,3.68
sugo,4.84
sleale,8.48
nuora,9.76
rovo,11.0
pistola,5.48
atletica,7.0
profitto,10.56
scheletro,7.32
vassoio,6.36
farfalla,3.64
lavatrice,5.88
mappa,6.16
portiere,8.92
ballare,4.92
infastidire,6.76
limone,4.2
offendersi,6.56
pala,6.24
nervoso,6.88
zucchina,5.44
fragola,4.4
rastrello,5.76
casa,3.4
sorriso,3.48
morboso,9.72
ostacolare,9.88
disincantato,9.52
soffitto,6.44
pressione,9.56
colorare,3.56
gelatina,6.52
intimo,9.24
cerchio,3.88
fon,4.8
vomito,6.08
capro espiatorio,11.04
famiglia,3.6
tavolo,3.12
ossessione,9.92
banana,4.08
nuca,8.68
esterno,5.84
ballerino,5.16
infuriato,7.0
soffiare,4.4
pomata,6.32
insegnante,4.36
calore,4.88
vicolo,8.24
qualità,8.16
avversione,9.4
stile,8.52
stupro,11.28
trofeo,7.16
traditore,9.32
lanciare,4.52
concentrarsi,6.28
sillaba,5.76
disturbare,6.24
fulmine,5.88
mago,5.04
testa,3.32
devoto,8.44
aggiustare,6.32
carcere,7.08
roccia,5.92
povertà,6.56
storia,5.2
nipote,4.08
colonna,6.56
verme,4.92
pungente,9.36
suolo,7.56
gamba,3.48
libertà,7.52
pesciolino,3.48
rissa,8.32
umiliare,9.8
quercia,6.2
frate,7.08
patriota,9.76
depressione,10.92
elicottero,4.48
forte,4.68
ciclamino,6.72
oca,5.8
pesce,4.0
